id,name,common_name,calories,protein,carbs,fat,sodium
A0100101,大麥仁,"小薏仁,洋薏仁,珍珠薏仁",365,8.6,77.1,1.6,13
A0110101,大麥片,,365,8.6,76.7,1.8,7
A0120101,大麥仁粉,"小薏仁粉,洋薏仁粉,珍珠薏仁粉",389,7.1,85,1.3,10
A0200101,小米,,370,11.3,71.7,3.7,1
A0200201,糯小米,,360,12.5,72.5,1.5,1
A0300101,小麥,,362,14.1,69.2,2.6,1
A0310101,小麥胚芽,,417,31.4,47.9,11.6,3
A0320101,去筋麵粉,澄粉,355,0.2,85.7,0.1,29
A0320202,低筋麵粉,,364,8.1,78.2,1.2,1
A0320301,中筋麵粉,,361,11.5,74.1,1.3,4
A0320404,高筋麵粉,,362,12.9,73.1,1.2,1
A0320405,高筋麵粉,強力粉,362,13.8,72.2,1.3,1
A0320505,全麥麵粉,,359,13,71.4,1.7,2
A0320601,雜糧中筋麵粉,,361,13.1,72,2.3,2
A0320702,雜糧高筋麵粉,,360,14.3,69.6,2.8,2
A0400101,白玉米,,66,3.4,11.5,0.6,5
A0400201,紫玉米,,168,4.5,34.4,1,1
A0400301,甜玉米,"玉米,黃玉米",107,3.3,17.8,2.5,2
A0400401,雙色水果玉米,"玉米,黃玉米",105,3.1,17.5,2.6,0
A0400501,糯玉米,,172,4.7,33.4,1.9,1
A0400601,冷凍玉米粒,,174,3.1,22.5,8.2,8
A0410101,乾玉米粒,,373,10.9,72.2,3.9,1
A0410201,玉米胚芽,"玉米仁,珍珠米",366,7,80.3,0.9,1
A0420101,玉米粉,,369,0.3,88.3,0.4,14
A05001,秈米平均值,"在來米,長米",357,7.8,77.4,0.9,2
A0500101,秈米(台中在來2號),"在來米,長米",355,8.2,76.3,1,2
A0500102,秈米(台中秈10號),"在來米,長米",358,7.4,78.5,0.7,2
A0500103,秈米(台中秈10號)(2024年取樣),"在來米,長米",357,6.1,79.8,0.6,0
A05002,?米平均值,"蓬萊米,圓米",354,7,77.8,0.7,2
A0500201,?米(台中189號),"蓬萊米,圓米",356,7.5,78.1,0.6,3
A0500202,?米(台南11號),"蓬萊米,圓米",348,6.7,77.2,0.5,2
A0500203,?米(台?2號),"蓬萊米,圓米",357,7.2,78.7,0.5,2
A0500204,?米(台?8號),"蓬萊米,圓米",355,6.9,78.8,0.4,2
A0500205,?米(台?9號),"蓬萊米,圓米",353,6.6,78.2,0.6,2
A0500206,?米(台農71號),"蓬萊米,圓米,益全香米",357,7.9,77.8,0.6,2
A0500207,?米(高雄139號),"蓬萊米,圓米",357,6.1,78.5,1.2,2
A0500208,?米(高雄142號),"蓬萊米,圓米",353,7,77.7,0.6,4
A0500209,?米(高雄145號),,364,6.8,80,1,1
A0500210,?米(高雄139號)(2021年取樣),"蓬萊米,圓米",352,5.7,79.2,0.5,1
A0500301,越光米,"蓬萊米,圓米",340,7.6,73.3,1,1
A0500302,越光米(台南16號)(2024年取樣),"蓬萊米,圓米",356,6.9,79.1,0.3,1
A0500401,秈型糯米(台中糯70號),長糯米,361,7.9,78.4,0.9,1
A05005,?型糯米平均值,圓糯米,358,8.3,77.4,0.8,3
A0500501,?型糯米,圓糯米,359,8.4,78,0.5,2
A0500502,?型糯米(台?糯1號),圓糯米,358,8.2,76.8,1.1,4
A0500601,野生紅米,,360,7.7,74.7,2.6,8
A0500701,紅糯糙米,,362,9.9,72.6,2.8,1
A0500801,黑秈糯糙米,"黑糯米,紫糯米,紫米,貢米,長生米",357,10.1,70.1,3.5,3
A0500901,胚芽秈米(台中秈10號),,363,8.3,76.1,2.1,2
A05010,胚芽?米平均值,,362,8.2,76.8,1.6,1
A0501001,胚芽?米(台?10號）,,360,7.3,77.2,1.7,1
A0501002,胚芽?米(台?9號),,363,9.1,76.5,1.5,2
A05011,發芽?米平均值,發芽糙米,355,7.8,74,2.3,3
A0501103,發芽?米(台?71號),"發芽糙米,益全香米發芽米",357,7.4,73.9,2.8,3
A0501104,發芽?米(台?9號）,發芽糙米,353,8.2,74.1,1.9,3
A0501201,糙秈米,糙米,359,7.3,73.6,3.2,4
A05013,糙?米平均值,糙米,364,7.4,76.6,2.3,3
A0501301,糙?米(台?71號),益全香米糙米,360,9,73.6,2.6,3
A0501302,糙?米(台?9號),糙米,364,7.4,76.6,2.3,3
A0501401,黑秈糙米,黑米,363,7.5,74,3.5,1
A0510101,加鈣米,,355,7.4,77.7,0.7,8
A0510201,高纖米,高纖蓬萊米,363,8.3,75.2,2.5,3
A0510301,五穀米,,358,8.7,72.9,2.9,2
A0510401,米胚芽,,391,17,52.9,12.7,5
A0520201,秈米粉,在來米粉,363,4.2,83.4,0.4,10
A0520301,糙米粉,,393,11.3,78.1,3.2,6
A0520401,白糯米粉,,360,4.5,82.3,0.4,16
A0550601,白飯,,183,3.1,41,0.3,2
A0600101,高梁,,372,11,73.6,3,3
A0600201,糯高梁,,362,10.7,75.7,1,0
A0710101,黑麥片,,359,7.8,77.3,1.2,1
A0800101,燕麥,,406,10.9,67.4,10.2,4
A0810101,燕麥片,,393,12.3,64.1,9.7,3
A0810201,即食燕麥片,,406,11.9,67.9,9.6,3
A0900101,蕎麥(甜蕎),三角米,361,11,71.3,2.9,2
A1000101,薏仁,"薏仁,薏苡仁",378,14.1,66.2,6.1,2
A1000201,糙薏仁,紅薏仁,387,13.7,65.9,7.4,1
A1020101,薏仁粉,,395,10.9,80,3.5,11
A1100101,紅藜麥,,379,12.1,66.8,6.7,2
A1100201,台灣藜(紅)(帶殼),"藜,赤藜,紫藜,紅心藜,紅藜,食用藜",386,14.9,62.3,8.5,1
B0100101,淮山,"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",363,5.3,82.4,0.3,11
B01002,山藥平均值,"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",85,2.8,17.8,0.1,4
B0100201,山藥(二刺),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",89,2.7,18.9,0.1,2
B0100202,山藥(大汕1號),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",80,2.4,17,0.1,4
B0100203,山藥(大汕3號),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",73,2.6,15,0.1,2
B0100204,山藥(大刺),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",85,3.5,17.1,0.1,8
B0100205,山藥(中國長品),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",74,2.5,15.5,0.1,1
B0100206,山藥(台農1號),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",93,2.6,19.9,0.1,1
B0100207,山藥(台農2號),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",95,3.2,19.9,0.1,14
B0100208,山藥(白皮削),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",75,2.5,15.7,0.1,2
B0100209,山藥(尖石原生種),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",65,3.1,12.4,0.1,3
B0100210,山藥(宜蘭原生種),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",140,4.8,29.1,0.2,4
B0100211,山藥(花蓮3號),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",93,1.7,20.9,0.1,6
B0100212,山藥(青森),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",94,2.6,19.9,0.2,4
B0100213,山藥(高田),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",71,3.1,14,0.1,4
B0100214,山藥(白肉),日本山藥,69,2.1,14.4,0.1,1
B0200301,紫山藥,"山薯,田薯,薯蕷,長薯,血薯;淮山(加工後)",92,2.8,19.6,0.1,3
B0320101,木薯粉,樹薯粉,362,0.1,87.3,0.2,1
B0400101,白皮甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯,白薯",119,1.3,27.5,0.1,73
B0400201,菱角牛奶甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯,白薯",133,1.9,29.9,0.3,85
B0400301,芋心甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯,紅薯,紫心甘薯,芋頭(仔)番薯",122,1.1,28.5,0.1,87
B0400401,紅肉甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯",114,1.8,25.4,0.2,42
B0400501,金時甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯",138,1.6,31.3,0.4,45
